"name","yearpublished","minplayers","maxplayers","minplaytime","maxplaytime","minage","languagedependence","average","numwanting","numcomments","numplays","numplays_month","news","blogs","podcast","boardgamedesigner_cnt","boardgamepublisher_cnt","boardgamehonor_cnt","desc_word_count","dif_players","main_category","difficulty"
"Treasures & Traps",2006,2,6,10,10,10,4,6.19998,18,193,1181,2,0,2,1,1,2,0,119,4,"Card Game","Simple"
"Naruto Shippuden Deck-Building Game",2014,2,5,45,90,15,3,6.89922,35,40,359,3,1,1,1,1,1,0,151,3,"Card Game","Simple"
"Bellz!",2014,2,4,15,15,6,1,6.03191,12,109,3434,29,0,8,1,1,6,0,106,2,"Action / Dexterity","Simple"
"Space Marine Adventures  Labyrinth of the Necrons",2018,1,4,30,30,8,0,7.26536,47,46,425,8,0,0,2,0,1,0,138,3,"Adventure","Simple"
"Der wahre Walter",1989,4,10,60,60,0,5,7.12676,2,31,235,3,0,0,0,1,1,1,225,6,"Party Game","Simple"
"Gooseberry",2016,4,6,5,10,10,1,6.73125,9,44,1616,30,1,1,1,1,3,0,272,2,"Bluffing","Simple"
"Tarot Storia",2015,1,2,10,10,8,1,6.28725,24,102,1412,2,1,15,4,1,3,0,414,1,"Card Game","Simple"
"Flix Mix",2004,2,4,20,20,6,1,6.25068,11,106,1261,1,0,8,0,1,2,1,83,2,"Card Game","Simple"
"Not War But Murder",2007,2,2,240,240,12,2,6.98273,30,121,153,0,0,0,0,1,2,2,471,0,"Wargame","Complex"
"'65  Squad-Level Combat in the Jungles of Vietnam",2016,2,3,45,180,12,5,7.62395,55,67,249,0,0,5,2,1,1,0,189,1,"Wargame","Complex"
"18VA",2001,2,5,210,210,14,0,7.27738,59,63,238,0,0,2,0,1,3,0,109,3,"Economic","Complex"
"Black Powder",2009,2,120,120,360,12,4,7.36452,5,50,198,2,0,1,2,3,1,0,186,118,"Miniatures","Complex"
"Project Dreamscape",2015,1,4,30,30,10,3,6.57774,15,126,778,1,1,30,12,2,2,0,143,3,"Card Game","Simple"
"Damage Report",2014,2,6,45,45,10,2,6.50632,33,113,732,0,1,6,1,1,1,0,207,4,"Science Fiction","Complex"
"Walk the Dogs",2005,2,5,30,30,8,1,6.18882,40,196,1730,3,0,3,0,2,1,2,149,3,"Animals","Simple"
"Blocks in the East",2012,1,4,120,120,14,2,7.65727,40,79,147,0,0,2,1,1,1,0,558,3,"Wargame","Complex"
"Heights of Courage",2013,1,2,240,900,0,0,7.44097,26,68,128,0,0,1,0,1,1,0,437,1,"Wargame","Simple"
"Inn-Fighting",2007,3,6,30,30,12,3,5.92908,13,317,1803,2,0,1,0,1,2,0,165,3,"Dice","Simple"
