"name","yearpublished","minplayers","maxplayers","minplaytime","maxplaytime","minage","languagedependence","average","numwanting","numcomments","numplays","numplays_month","news","blogs","podcast","boardgamedesigner_cnt","boardgamepublisher_cnt","boardgamehonor_cnt","desc_word_count","dif_players","main_category","difficulty"
"21 Days",2017,1,4,30,45,10,1,6.86233,21,72,174,2,0,5,0,1,1,0,339,3,"Adventure","Complex"
"The Arduous Beginning",2009,1,2,120,120,12,0,6.9629,11,41,69,0,0,0,0,1,1,0,198,1,"Wargame","Simple"
"Lanzeloth",2017,2,6,20,30,7,1,6.8831,0,11,227,1,0,0,0,2,2,0,187,4,"Card Game","Simple"
"The Defense of Rorke's Drift and The Boer War",1991,1,2,240,240,12,0,6.71598,8,59,24,0,0,0,0,3,2,0,96,1,"Wargame","Simple"
"Washington's Crossing",2012,2,2,480,480,0,0,7.67021,18,35,23,0,0,0,1,1,1,0,166,0,"Wargame","Complex"
"Apollo XIII",2015,2,5,45,75,13,2,6.42148,16,64,233,2,1,4,2,1,2,0,94,3,"Card Game","Complex"
"Mad Science Foundation",2016,2,4,30,45,15,4,6.55784,8,31,134,1,1,2,1,2,1,0,344,2,"Card Game","Simple"
"Electronic Labyrinth",2011,2,4,45,60,8,0,6.37783,4,45,244,0,1,2,0,2,1,1,399,2,"Fantasy","Simple"
"Renegade Legion  Leviathan",1989,2,2,90,90,10,0,6.31723,11,51,108,0,0,1,0,3,1,0,75,0,"Science Fiction","Complex"
"War in the Pacific (first edition)",1978,1,6,360,360,12,0,7.07595,31,71,5,0,0,0,0,4,2,0,205,5,"Wargame","Complex"
"Triumph of Chaos v.2 (Deluxe Edition)",2019,2,2,180,600,16,0,7.998,61,37,41,0,0,0,0,1,1,0,665,0,"Wargame","Complex"
"Prime Climb",2014,2,4,45,45,10,2,6.38546,10,58,327,2,0,1,0,2,1,0,270,2,"Other","Simple"
"IRONDIE",2010,2,2,15,15,13,1,6.42423,25,51,241,0,2,0,0,1,3,0,156,0,"Dice","Simple"
"SecuenzooS",2013,2,5,30,30,8,1,6.76617,0,22,264,0,0,1,2,1,1,0,292,3,"Animals","Simple"
"Panzer Grenadier  Kursk \u2013 South Flank",2012,2,2,60,60,0,0,7.57381,15,23,38,0,0,0,0,2,1,0,183,0,"Wargame","Complex"
"Stories!",2013,3,10,30,30,8,4,6.6056,1,8,143,0,1,0,0,1,1,0,97,7,"Other","Simple"
"Rome & Carthage",1954,2,4,60,60,10,2,6.35478,18,44,132,0,1,0,0,1,5,1,125,2,"Fighting","Simple"
"La Bataille de France",2015,2,2,120,120,0,0,7.44058,13,38,65,0,0,0,0,2,2,0,696,0,"Wargame","Complex"
"Oliver Twist",2017,2,4,45,60,10,3,6.84329,24,14,194,0,2,1,0,2,1,0,116,2,"Other","Simple"
"Conan Collectible Card Game",2006,2,9,30,30,12,3,7.05327,23,55,232,0,0,0,0,1,2,0,168,7,"Adventure","Complex"
"Connect 4 Launchers",2010,2,2,5,15,5,0,6.23657,3,40,797,2,0,1,0,1,1,0,142,0,"Action / Dexterity","Simple"
"Seize the Bean",2020,1,4,45,90,10,0,7.60565,54,100,147,1,1,11,2,2,2,0,266,3,"Action / Dexterity","Simple"
"Zpocalypse 2  Defend the Burbs",2017,2,5,90,720,14,3,7,12,32,127,0,2,3,0,2,1,0,246,3,"Card Game","Complex"
"Jenga  Donkey Kong Collector's Edition",2008,1,4,20,20,6,1,5.96889,16,104,501,2,0,0,0,1,1,0,106,3,"Action / Dexterity","Simple"
"War for Eda\u00f0h  The Beginning",2008,1,4,30,30,0,3,6.46695,16,106,274,0,0,0,1,2,1,0,364,3,"Card Game","Complex"
"15 Dias  The Spanish Golden Age",2014,2,8,60,60,12,1,6.5599,2,36,91,0,1,0,2,1,1,0,160,6,"Card Game","Complex"
"Patrol  Lost!",2009,2,2,30,30,12,0,6.91739,8,53,289,0,0,2,0,1,1,0,108,0,"Dice","Simple"
"Caligula",2009,2,5,60,60,14,1,6.04071,6,81,270,0,0,0,0,1,2,0,225,3,"Card Game","Complex"
"Magic  The Gathering \u2013 Duel Decks  Blessed vs. Cursed",2016,2,2,30,45,13,4,7.46154,4,5,101,0,0,1,0,2,1,0,101,0,"Card Game","Simple"
"Year of the Rat  Vietnam",1972,2,2,120,120,12,0,6.82394,16,86,41,0,0,0,0,3,1,0,48,0,"Wargame","Complex"
"Time is Money",2003,2,5,20,20,10,1,6.175,11,55,411,0,1,0,1,2,1,0,31,3,"Dice","Simple"
"Dynamite Nurse",2011,3,5,50,50,16,0,6.52729,13,52,164,0,0,8,0,1,3,0,199,2,"Card Game","Simple"
"Candy Chaser",2013,2,4,10,10,10,0,5.91835,8,72,1480,8,3,11,0,1,2,0,84,2,"Bluffing","Simple"
"Pent-Up",2014,2,2,15,15,7,1,7.65652,15,15,292,0,0,5,0,1,1,0,103,0,"Abstract Strategy","Simple"
"Against All Odds",2003,2,2,180,180,12,0,7.39375,4,34,40,0,0,0,0,1,1,0,40,0,"Wargame","Complex"
"Red Dragon \/ Green Crescent",2012,1,2,180,180,14,3,7.11864,19,49,48,0,0,0,0,1,1,1,404,1,"Wargame","Simple"
"Great War at Sea  U.S. Navy Plan Red",2002,1,2,30,30,12,3,6.71582,8,53,32,0,0,2,0,2,1,0,114,1,"Wargame","Simple"
"Semper Fi!",1997,2,2,240,240,15,1,6.91084,14,39,71,0,0,0,0,2,2,2,159,0,"Wargame","Complex"
"Gruff  Rage of the Trolls",2017,1,2,20,45,12,0,8.09871,6,26,52,0,0,5,2,1,1,0,101,1,"Card Game","Complex"
"Sorcerer & Stones",2017,1,4,30,60,8,2,6.49219,12,34,231,2,2,8,1,2,3,0,130,3,"Abstract Strategy","Complex"
"LED  L\u00f3gica \u2013 Estrategia \u2013 Deducci\u00f3n",2013,2,4,45,45,10,1,7.45278,1,11,64,0,0,0,0,1,1,0,124,2,"Abstract Strategy","Simple"
"Ici Londres",2013,3,6,20,20,8,0,6.24709,5,16,229,0,0,0,0,1,2,0,47,3,"Card Game","Simple"
"Top 12",2015,2,5,10,20,8,0,6.15073,5,40,1182,15,0,3,4,1,2,0,84,3,"Other","Simple"
"Dungeon Derby",2018,3,6,30,90,8,0,7.28806,2,24,74,1,0,5,1,1,1,0,126,3,"Dice","Simple"
"Schildi Schildkr\u00f6te",2004,2,4,5,5,4,1,6.38171,21,50,452,0,0,2,0,1,1,3,145,2,"Action / Dexterity","Simple"
"Builders of Blankenburg",2016,2,5,60,90,13,2,7.21308,14,75,148,1,0,4,0,1,1,0,276,3,"Medieval","Complex"
"Decline and Fall",1972,4,4,120,120,12,1,6.64903,10,50,49,0,0,0,0,1,2,0,117,0,"Wargame","Complex"
"Just in Time",2013,2,4,40,40,8,0,6.62024,9,18,159,0,2,0,1,1,1,1,60,2,"Other","Simple"
"Peanut Club",2018,3,6,20,20,8,1,6.7979,2,12,264,0,0,0,0,1,1,0,642,3,"Card Game","Simple"
"Miss Poutine",2009,4,8,15,15,8,1,6.16204,11,48,258,2,0,0,0,1,2,1,116,4,"Card Game","Simple"
"Word Basket",2002,2,8,10,10,10,5,6.19587,0,28,563,7,0,0,0,1,4,1,82,6,"Action / Dexterity","Simple"
"Morelli",2011,2,2,45,45,8,1,7.30234,9,25,192,0,0,11,0,1,1,0,363,0,"Abstract Strategy","Complex"
"Lasalle",2009,2,6,120,180,12,3,7.2082,7,31,67,0,0,0,0,1,1,0,202,4,"Miniatures","Complex"
"Friesematenten",1998,2,4,60,60,14,4,6.25217,17,43,90,1,0,0,0,1,1,0,90,2,"Card Game","Simple"
"Loch Ness",2010,2,5,20,20,4,1,5.97072,5,62,474,1,0,1,0,1,5,0,180,3,"Childrens Game","Simple"
"Laska",1911,2,2,30,30,0,1,6.78598,8,38,155,0,1,0,0,1,7,0,165,0,"Abstract Strategy","Complex"
"Medina de Rioseco 1808",2008,1,2,240,240,0,2,7.82955,4,23,16,0,0,0,0,1,1,0,85,1,"Wargame","Complex"
"Sergeants Miniatures Game  Red Devils",2013,2,6,30,45,10,3,7.91463,14,17,59,0,0,1,0,2,1,0,114,4,"Miniatures","Complex"
"Poule Poule",2019,2,8,20,20,8,0,6.85874,2,18,402,21,0,2,0,1,1,0,153,6,"Animals","Simple"
"Streaming",2018,3,5,30,30,10,2,6.70526,0,17,200,1,0,0,0,1,1,0,34,2,"Movies / TV / Radio theme","Simple"
"Magic Dance",1988,3,6,45,45,8,1,5.81895,5,135,655,4,0,1,0,1,5,1,42,3,"Bluffing","Simple"
"Maniacal",2019,2,5,60,120,8,0,7.9186,15,21,54,5,2,13,1,1,1,0,235,3,"Other","Simple"
"Dicke Kartoffeln",1989,2,6,120,120,12,0,6.21391,12,48,96,0,0,0,0,2,1,0,92,4,"Economic","Complex"
"NUTS! Second Edition",2009,1,4,30,30,10,4,7.46489,4,16,142,0,0,0,0,1,1,0,220,3,"Miniatures","Complex"
"Paul Koenig's The Bulge  6th Panzer Army",2013,2,2,120,180,13,0,7.12364,11,29,79,0,0,1,0,2,1,0,283,0,"Wargame","Simple"
"Mistk\u00e4fer",2017,2,4,20,20,8,1,6.28529,1,20,680,15,1,2,0,1,1,0,53,2,"Dice","Simple"
"Flag Dash",2016,2,4,30,40,8,1,6.27103,16,76,288,1,1,4,4,1,2,0,291,2,"Deduction","Simple"
"Boochie",2008,2,4,15,15,8,3,6.64756,3,29,222,0,0,0,0,1,4,0,45,2,"Action / Dexterity","Simple"
"\u00a1Arriba Espa\u00f1a!",1997,2,4,120,120,12,0,6.50832,19,90,68,0,0,0,1,1,3,0,133,2,"Wargame","Complex"
"1914  Glory's End",1994,2,2,180,180,12,0,6.32398,5,72,60,0,0,0,0,1,2,0,29,0,"Wargame","Complex"
"W\u0142adca Areny",2012,2,2,60,60,14,3,6.83882,1,15,78,0,0,0,0,1,1,0,583,0,"Fantasy","Complex"
"Frag Gold Edition",2001,2,6,30,30,10,4,5.68505,33,640,1917,1,0,6,0,2,2,0,102,4,"Fighting","Simple"
"Koboldbande",2014,2,4,20,20,4,1,6.41472,1,33,670,4,1,1,0,1,5,1,214,2,"Childrens Game","Simple"
"Lion of the North",1993,2,4,180,180,12,1,6.26414,16,60,32,0,0,0,0,2,1,3,276,2,"Wargame","Complex"
"Mission Command Sea",2003,2,2,10,10,8,1,5.90186,15,147,244,0,0,2,0,1,1,0,140,0,"Miniatures","Simple"
"Big Bang 13.7",2018,1,4,30,45,8,1,7.25078,4,24,127,0,0,4,0,2,1,0,352,3,"Abstract Strategy","Simple"
"Heartthrob",1988,2,6,30,30,10,0,7.08425,6,38,347,5,0,3,5,1,1,0,117,4,"Childrens Game","Simple"
"VOR  The Maelstrom",1999,2,10,90,90,12,4,6.83882,7,45,96,0,0,1,0,1,2,0,237,8,"Adventure","Complex"
"Get Adler! Deduction Card Game",2016,4,8,30,30,10,0,7.29355,7,54,181,3,2,17,0,1,1,0,91,4,"Bluffing","Simple"
"Landslide",1971,2,4,90,90,9,2,6.16368,10,99,115,0,0,0,1,1,1,0,102,2,"Other","Simple"
"Flying Lead",2010,2,4,60,60,10,0,7.45957,4,23,48,0,0,1,2,2,2,0,227,2,"Miniatures","Complex"
"Coma Ward",2018,2,6,30,60,18,4,6.52791,30,86,270,5,2,2,1,1,1,0,489,4,"Other","Complex"
"Atmosfear  The Harbingers",1995,3,6,60,60,12,2,5.92779,11,147,235,0,0,1,1,1,4,0,121,3,"Dice","Simple"
"Moods",2000,3,8,20,20,18,4,5.86249,12,160,518,3,0,2,1,1,2,1,113,5,"Party Game","Simple"
"Streets of Stalingrad",1979,2,2,180,180,12,0,7.56979,20,35,14,0,0,0,0,2,1,2,448,0,"Wargame","Complex"
"Forbidden Bridge",1992,2,4,10,10,7,1,6.07111,50,118,415,1,0,0,0,1,5,0,61,2,"Action / Dexterity","Simple"
"Thieves!",2015,3,6,20,20,8,1,6.00007,2,66,693,4,1,2,1,1,8,0,197,3,"Bluffing","Simple"
"Julian  Triumph Before the Storm",2010,1,2,240,240,12,2,7.33019,13,42,32,0,0,2,0,1,1,0,238,1,"Wargame","Complex"
"Battlefold",2017,2,4,25,35,8,1,6.5719,20,30,225,1,2,5,0,2,1,0,205,2,"Fantasy","Simple"
"Peter the Great",1983,2,2,120,120,12,0,6.55438,2,62,27,0,0,0,0,1,1,0,29,0,"Wargame","Simple"
"Drachen Wurf",2008,2,6,30,30,8,1,5.88319,6,71,737,1,0,4,2,1,1,2,96,4,"Dice","Simple"
"Aces High",1980,1,2,30,30,10,4,6.43077,9,73,50,0,0,0,0,1,3,0,278,1,"Wargame","Complex"
"Race to the North Pole",2015,2,4,45,45,7,1,6.06474,11,80,395,0,1,7,0,2,3,0,258,2,"Adventure","Simple"
"Galactic Warlords  Battle for Dominion",2018,1,4,30,90,8,0,7.14783,16,37,89,0,1,5,0,1,1,0,221,3,"Other","Complex"
"Black Sea Black Death",1982,2,4,360,360,12,0,7.23818,22,28,9,0,0,0,0,1,1,1,243,2,"Wargame","Complex"
"Edenia",2016,2,4,30,30,8,1,6.41893,3,20,303,15,0,2,1,1,1,0,57,2,"Other","Simple"
"Crisis  Sinai 1973",1995,2,2,360,360,12,0,6.53333,10,52,36,0,0,0,0,1,1,1,369,0,"Wargame","Complex"
"Corporation",2009,1,4,30,30,10,1,6.91923,21,39,113,0,0,6,0,1,1,0,76,3,"Abstract Strategy","Complex"
"Anno 1452",1999,2,4,90,90,12,3,6.06471,5,57,65,0,0,0,0,1,1,0,117,2,"Medieval","Complex"
"Conspiracy!",2016,2,4,30,45,13,3,7.17,7,41,210,2,2,5,2,2,1,0,135,2,"Card Game","Simple"
"Strange Aeons",2009,2,2,45,45,0,2,8.07432,11,21,211,0,0,4,0,1,1,0,227,0,"Dice","Simple"
"Zark City",2008,2,5,30,30,0,1,6.52711,0,49,415,0,0,6,0,1,3,0,85,3,"Abstract Strategy","Simple"
"A Wing and a Prayer  Bombing the Reich",2016,1,2,60,120,12,3,7.46562,41,38,109,0,0,2,0,1,1,0,219,1,"Wargame","Simple"
"Ghostbusters  The Board Game II",2017,1,4,30,120,15,4,6.60455,22,76,122,4,3,9,1,2,1,0,191,3,"Movies / TV / Radio theme","Complex"
"Chaostle",2011,2,8,120,120,10,2,6.36481,36,109,251,1,0,5,1,1,1,0,95,6,"Fantasy","Simple"
"Galactic Debate",2016,3,8,20,45,13,0,7.02262,0,19,71,0,0,5,0,2,3,0,172,5,"Humor","Simple"
"Eye My Favorite Things",2015,3,6,30,30,12,0,7.12778,51,18,167,11,0,12,1,2,1,0,214,3,"Card Game","Simple"
"Their Finest Hour",1976,2,2,240,240,12,1,6.63491,6,71,17,0,0,0,0,3,2,1,128,0,"Wargame","Complex"
"Colonies",2012,3,5,150,150,14,1,7.04322,6,12,81,0,0,0,0,6,1,0,372,2,"Economic","Complex"
"Jerusalem!",1975,2,2,180,180,12,0,6.95484,9,60,25,0,0,2,0,1,3,2,170,0,"Wargame","Complex"
"Badlands  Outpost of Humanity",2017,2,4,60,120,14,2,7.14091,7,22,68,0,0,3,0,1,4,0,314,2,"Adventure","Simple"
"Czas Honoru  Operacja Most III",2013,2,2,30,30,12,1,6.42291,5,40,137,0,2,1,0,1,2,0,349,0,"Card Game","Simple"
"Visby",2015,2,2,20,30,10,2,6.60611,7,31,331,0,1,9,0,1,1,0,302,0,"Bluffing","Simple"
"Star Frontiers  Knight Hawks",1983,2,2,60,60,12,3,6.3539,3,60,169,0,0,0,0,1,1,0,31,0,"Science Fiction","Complex"
"Carnival",2011,2,4,30,30,13,2,5.74917,22,198,1354,0,3,26,7,1,1,0,110,2,"Card Game","Simple"
"Tajemnicze podziemia",2016,1,5,15,25,6,0,6.66452,3,22,493,0,0,1,0,1,1,0,129,4,"Childrens Game","Simple"
"TAIJI Deluxe",2007,2,2,30,30,7,1,6.40826,11,36,315,0,0,4,0,1,2,1,169,0,"Abstract Strategy","Simple"
"King Of The Hill  The Dwarf Throne",2016,2,5,30,75,10,1,6.88614,2,23,101,0,0,3,1,2,1,0,160,3,"Fantasy","Simple"
"Tales & Games  Little Red Riding Hood",2015,1,5,20,20,7,1,5.87053,18,88,1010,0,1,7,1,1,5,0,190,4,"Bluffing","Simple"
"The Doom That Came To Atlantic City",2013,2,4,45,45,15,3,6.02023,17,109,393,1,3,7,3,1,2,0,222,2,"Humor","Simple"
"For The Win",2012,2,2,10,10,8,1,5.76772,7,243,1443,0,2,20,4,1,1,1,330,0,"Abstract Strategy","Simple"
"Highway to the Kremlin",2001,2,4,180,180,12,0,7.55,29,34,19,0,0,0,0,1,1,1,57,2,"Wargame","Complex"
"Synchropipes",2012,1,4,20,20,8,1,6.33621,11,41,681,10,1,29,0,1,1,0,215,3,"Abstract Strategy","Simple"
"Eclipse",1999,2,2,15,15,8,1,6.20695,16,44,504,1,0,0,1,2,2,0,113,0,"Abstract Strategy","Simple"
"Autokrator",2012,2,4,90,90,12,1,6.35303,17,61,175,0,1,0,0,1,1,0,172,2,"Fighting","Simple"
"Nature of the Beast  Farm vs. Forest",2005,2,4,60,60,12,3,6.45248,9,56,126,0,0,0,0,2,1,0,169,2,"Animals","Complex"
"Helsinki 1918  German Intervention in the Finnish Civil War",2018,2,3,180,240,14,0,7.75,14,21,66,0,0,1,0,1,1,0,315,1,"Wargame","Simple"
"War between the States (first edition)",1977,1,2,360,360,14,4,6.795,19,43,18,0,0,0,0,1,1,1,45,1,"Economic","Complex"
"The Perfect Ten",2003,2,6,30,30,12,5,5.96955,6,81,444,1,0,0,1,1,2,0,210,4,"Other","Simple"
"The Broadway Game",1981,2,6,120,120,12,3,6.42625,8,55,255,0,0,2,0,1,2,0,123,4,"Economic","Simple"
"Donburiko",2013,2,4,15,15,7,1,6.37925,15,49,368,0,2,7,1,1,3,0,357,2,"Card Game","Simple"
"Star Trek Red Alert",2000,2,8,90,90,10,0,6.43925,31,66,49,0,0,2,0,4,1,0,25,6,"Fighting","Simple"
"Samurai & Katana",1999,3,6,120,120,12,2,5.94114,14,108,166,1,0,0,0,1,1,1,142,3,"Economic","Complex"
"Ascari",2012,2,2,60,60,10,0,7.37255,8,27,95,0,0,2,0,1,1,0,328,0,"Wargame","Simple"
"Schachen",2011,2,2,30,30,6,1,7.44375,3,15,105,0,0,0,0,2,2,0,160,0,"Abstract Strategy","Simple"
"Square Mile",1962,2,4,60,60,12,0,6.53611,38,61,100,0,0,0,0,2,1,0,76,2,"Economic","Simple"
"Invasion of the Air-eaters",1979,2,2,90,90,10,0,6.29744,11,76,50,0,0,0,0,1,1,0,193,0,"Science Fiction","Simple"
"Zargos",1990,2,6,120,120,12,3,6.31484,4,35,71,0,0,0,0,3,3,0,164,4,"Fantasy","Complex"
"Catchphrase",1974,2,4,20,60,10,0,6.22788,1,37,521,13,0,1,0,1,3,0,82,2,"Other","Simple"
"Consumption  Food and Choices",2019,1,4,60,120,10,3,8.05145,31,36,93,10,1,4,1,1,1,0,130,3,"Other","Complex"
"Up And Down",2005,2,6,20,20,5,1,6.26523,1,34,359,0,0,2,0,1,1,3,66,4,"Animals","Simple"
"Chachapoya",2019,2,4,30,45,9,1,8.17609,0,7,33,6,0,0,0,1,1,0,212,2,"Bluffing","Simple"
"\u8457\u8272\u5feb\u624b",2017,2,5,15,20,5,0,6.41585,6,34,311,4,1,0,1,1,9,2,126,3,"Action / Dexterity","Simple"
"Knights of the Dinner Table  HACK!",2001,2,5,30,30,10,3,5.93424,15,125,195,0,0,0,0,1,2,0,95,3,"Adventure","Simple"
"Isle of Monsters",2017,2,5,20,45,10,1,6.20189,7,54,396,7,0,8,2,2,1,0,268,3,"Adventure","Simple"
"Battlemist",1998,2,6,200,200,12,4,5.8954,15,141,87,1,0,1,1,1,1,0,69,4,"Fantasy","Complex"
"How to Host a Dungeon",2008,1,1,60,60,0,5,7.04615,6,36,40,0,0,2,1,1,1,0,129,0,"Fantasy","Simple"
"Napoleon's Resurgence",2018,1,2,30,45,0,0,8.65,12,19,40,0,0,0,0,1,1,0,159,1,"Wargame","Complex"
"Stage II",1985,2,2,90,90,0,5,6.28095,4,65,217,0,0,1,0,1,1,0,54,0,"Deduction","Simple"
"Cthulhu  A Deck Building Game",2016,1,6,45,120,14,3,6.56096,34,57,260,4,1,3,1,1,1,0,250,5,"Card Game","Simple"
"Whitewater",2012,2,6,45,60,8,1,5.99189,16,84,315,2,2,5,1,1,1,0,140,4,"Other","Simple"
"Game Over",2012,2,4,15,15,5,1,6.11771,2,36,734,6,0,1,1,1,2,1,91,2,"Card Game","Simple"
"Best of Werewolves of Miller's Hollow",2017,8,28,30,30,14,2,7.33833,1,16,166,10,0,0,0,2,3,0,65,20,"Bluffing","Simple"
"1895 Namibia",2004,3,3,180,180,12,1,6.79478,27,38,75,0,0,2,0,2,1,0,152,0,"Economic","Complex"
"Obcy",1988,2,7,60,60,0,2,6.44046,7,23,231,0,0,0,0,1,1,0,235,5,"Adventure","Simple"
"Embrace An Angry Wind",1992,2,2,360,360,12,0,6.83867,21,40,23,0,0,0,0,1,1,0,210,0,"Dice","Complex"
"Aquarium",2015,2,4,60,120,14,1,7.51702,1,11,60,0,0,2,0,1,2,0,180,2,"Science Fiction","Complex"
"Die geheimnisvolle Sternschnuppe",2011,1,5,15,15,5,1,6.19962,8,47,333,4,0,5,0,1,5,0,90,4,"Action / Dexterity","Simple"
"Me Want Cookies!",2015,2,5,10,10,5,0,6.02179,6,55,626,3,1,2,3,1,9,0,99,3,"Card Game","Simple"
"Twitch",1998,3,6,15,15,10,1,6.06124,7,68,257,0,0,0,0,3,2,0,86,3,"Action / Dexterity","Simple"
"Sid Meier's Civilization  The Card Game",2006,2,4,60,60,12,2,5.99295,31,108,268,0,0,5,1,2,1,0,92,2,"Card Game","Simple"
"Song of Drums and Shakos",2008,2,8,45,45,0,0,7.583,2,16,64,0,0,0,0,1,2,1,177,6,"Miniatures","Simple"
"The Battle of Wakefield  Yorkshire",2017,1,2,60,120,14,2,7.09643,2,47,62,0,0,1,0,2,1,0,219,1,"Medieval","Complex"
"Xactika",2002,2,10,45,45,12,1,5.78087,3,201,565,4,0,0,0,2,2,0,334,8,"Card Game","Simple"
"Flagship  Prometheus Unchained",2002,2,4,180,180,10,0,6.01526,2,87,127,0,0,0,0,1,1,0,141,2,"Card Game","Simple"
"Torpedo Run!",1986,2,2,60,60,8,1,6.06374,52,103,129,0,0,1,2,1,2,0,128,0,"Action / Dexterity","Simple"
"Aqua Mirabilis",2019,2,4,90,120,14,1,7.42069,17,28,91,16,1,3,0,1,2,0,207,2,"Other","Complex"
"Conflict of Heroes  Awakening the Bear \u2013 Operation Barbarossa 1941 (Third Edition)",2019,2,4,60,240,12,0,8.48571,22,17,35,9,0,0,0,2,1,0,374,2,"Wargame","Complex"
"10 Negritos",2014,1,6,90,90,8,1,6.26483,13,35,208,0,0,2,2,2,1,0,319,5,"Deduction","Simple"
"The Kaiser's War  World War I",2010,1,2,240,240,12,2,7.32745,11,35,28,0,0,0,0,3,2,0,287,1,"Wargame","Complex"
"Timeline  Canada",2018,2,6,15,15,8,0,6.81671,6,9,227,1,0,0,0,1,1,0,58,4,"Card Game","Simple"
"Die Hard  The Nakatomi Heist Board Game",2019,2,4,60,90,15,0,6.90871,44,38,188,13,4,3,3,2,1,0,77,2,"Movies / TV / Radio theme","Simple"
"Peptide  A Protein Building Game",2014,2,6,40,40,10,1,6.35594,23,65,221,0,0,3,2,1,2,0,96,4,"Other","Simple"
"Ninja Burger  Secret Ninja Death Touch Edition",2009,3,6,30,30,12,3,6.28627,6,43,120,0,0,2,0,1,1,0,175,3,"Card Game","Simple"
"Blend Off!",2016,2,4,5,15,6,0,6.33462,6,49,448,6,1,13,1,1,1,0,412,2,"Dice","Simple"
"Adventure Time Card Wars  Ice King vs. Marceline",2015,2,2,15,30,10,0,6.59244,4,27,117,1,1,1,0,2,2,0,523,0,"Card Game","Simple"
"Guardian's Call",2019,2,5,20,40,14,0,6.5635,12,43,248,0,0,6,2,1,2,0,278,3,"Bluffing","Simple"
"Ignis",2013,2,2,20,20,8,1,6.14635,5,34,487,4,2,1,1,1,2,0,265,0,"Abstract Strategy","Simple"
"Lincoln's War",2013,1,4,180,180,0,4,6.41701,26,88,124,0,0,5,2,1,1,1,269,3,"Wargame","Complex"
"Beer Empire",2016,2,4,60,120,12,0,6.41604,10,65,179,0,1,23,1,2,2,0,609,2,"Economic","Complex"
"\u6416\u6416\u860b\u679c\u6a39",2013,1,6,30,30,6,2,7.002,11,20,172,1,0,5,0,2,2,0,74,5,"Action / Dexterity","Simple"
"Dragon Master",2004,2,2,5,20,8,0,6.13688,13,65,602,11,1,3,1,1,4,0,176,0,"Fantasy","Simple"
"Guerra De Mitos III",2013,2,6,20,20,10,0,7.93684,0,4,7,0,0,0,0,1,1,0,214,4,"Other","Simple"
"Scattergories Categories",2010,2,4,25,35,12,0,6.1214,6,54,314,2,0,0,0,1,1,0,99,2,"Other","Simple"
"22 Pommes",2009,2,2,15,15,10,1,6.12564,0,50,459,0,1,0,0,1,4,0,106,0,"Other","Simple"
"Gang Rush Breakout",2017,3,5,45,45,10,0,6.475,13,24,150,1,0,1,0,2,5,0,46,2,"Dice","Simple"
"Guerra De Mitos II",2013,2,6,20,20,10,2,7.71738,0,6,18,0,0,0,0,1,1,0,209,4,"Card Game","Simple"
"Calico",2020,1,4,30,45,13,1,8.21383,37,87,127,17,0,16,5,1,1,0,165,3,"Abstract Strategy","Simple"
"Healing Blade  Defenders of Soma",2016,1,2,30,60,14,0,7.2946,18,30,143,0,0,1,0,1,1,0,221,1,"Card Game","Complex"
"The Way of the Bear",2018,2,4,25,35,8,2,6.4633,10,27,314,10,2,6,0,3,5,0,133,2,"Animals","Simple"
"The Chosin Few",2016,1,1,45,45,13,2,6.73675,22,27,305,1,0,1,0,1,1,0,205,0,"Wargame","Simple"
"Nox",2012,2,6,20,20,10,1,5.78161,2,105,1212,1,2,5,1,1,7,0,216,4,"Card Game","Simple"
"Vejen",2019,2,4,60,120,12,1,6.61162,24,28,195,4,0,3,0,2,1,0,215,2,"Medieval","Complex"
"Slavika",2012,2,5,30,30,10,1,5.95329,11,86,489,0,0,1,1,1,2,0,229,3,"Card Game","Simple"
"Payoff Pitch Baseball",2013,1,2,25,25,10,0,8.06136,4,17,308,0,0,11,0,1,1,0,166,1,"Card Game","Complex"
"12 Days of Christmas",2015,3,8,20,30,8,0,5.97415,2,95,679,3,1,7,3,1,2,0,186,5,"Card Game","Simple"
"Ghost for Sale",2007,3,5,40,40,8,1,5.94259,11,77,257,1,0,0,0,2,1,0,365,2,"Card Game","Simple"
"Slash  Romance without boundaries",2013,3,9,45,45,14,0,6.52304,7,32,180,0,2,1,1,1,2,0,156,6,"Card Game","Simple"
"Funfair",2010,3,6,30,30,8,3,5.9083,17,102,435,0,1,2,1,10,1,1,163,3,"Action / Dexterity","Simple"
"Matterhorn",2017,2,4,10,30,8,1,6.45876,17,19,255,2,0,1,1,1,2,0,76,2,"Dice","Simple"
"Wabbit Wampage",1985,2,4,120,120,12,2,5.98028,24,90,88,0,0,0,0,1,1,2,69,2,"Humor","Simple"
"Nyctophobia  Vampire Encounter",2018,3,5,30,45,9,2,6.15813,15,43,304,0,1,1,3,1,1,0,229,2,"Other","Simple"
"Race For Tunis",1992,2,2,120,120,12,0,6.44717,8,47,47,0,0,0,0,1,2,0,113,0,"Wargame","Complex"
"Verona Twist",2018,2,2,20,30,9,1,7.19015,13,17,209,0,0,0,0,1,1,0,53,0,"Abstract Strategy","Simple"
"Humans!!!",2008,2,6,60,60,0,3,5.81683,12,164,414,0,0,3,0,2,2,0,125,4,"Fighting","Simple"
"Snail Sprint!",2018,2,4,15,15,5,1,6.98525,8,16,438,26,1,3,0,2,1,0,60,2,"Childrens Game","Simple"
